id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
686609,14.0,MissedShots,0.9369999694824219,0.4929999923706055,0.47701871395111084,Evanilson,h,12963,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Marcus Tavernier,Cross
686613,38.0,Goal,0.8530000305175781,0.64,0.06357273459434509,Eli Junior Kroupi,h,11504,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Adrien Truffert,Pass
686615,48.0,BlockedShot,0.8190000152587891,0.2929999923706055,0.03325670212507248,Rayan,h,14395,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Alex Scott,Chipped
686616,51.0,BlockedShot,0.9009999847412109,0.5640000152587891,0.13584403693675995,Evanilson,h,12963,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Adrien Truffert,Pass
686618,59.0,MissedShots,0.8109999847412109,0.500999984741211,0.1039067879319191,Eli Junior Kroupi,h,11504,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Evanilson,Pass
686619,61.0,BlockedShot,0.9430000305175781,0.5559999847412109,0.11071981489658356,James Hill,h,10747,FromCorner,2025,Head,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Marcus Tavernier,Cross
686620,61.0,ShotOnPost,0.970999984741211,0.5659999847412109,0.14241786301136017,Rayan,h,14395,FromCorner,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,James Hill,Rebound
686624,88.0,SavedShot,0.87,0.4420000076293945,0.33619993925094604,David Brooks,h,6820,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Marcus Tavernier,Pass
686625,88.0,MissedShots,0.78,0.4379999923706055,0.04356251657009125,Evanilson,h,12963,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,David Brooks,Pass
686626,89.0,ShotOnPost,0.8030000305175782,0.4809999847412109,0.28412628173828125,David Brooks,h,6820,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Enes Ünal,Pass
686607,4.0,SavedShot,0.860999984741211,0.49700000762939456,0.10193449258804321,Jéremy Doku,a,8981,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Antoine Semenyo,TakeOn
686608,13.0,MissedShots,0.735,0.47400001525878904,0.018072359263896942,Abduqodir Khusanov,a,11763,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Rodri,Pass
686610,27.0,BlockedShot,0.9109999847412109,0.47700000762939454,0.03139033541083336,Rodri,a,2496,FromCorner,2025,Head,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Bernardo Silva,Aerial
686611,27.0,BlockedShot,0.9640000152587891,0.6090000152587891,0.09270108491182327,Erling Haaland,a,8260,FromCorner,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,Rebound
686612,31.0,SavedShot,0.7559999847412109,0.40599998474121096,0.021520625799894333,Antoine Semenyo,a,11363,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Rodri,Pass
686614,45.0,SavedShot,0.9059999847412109,0.53,0.44766804575920105,Nico O&#039;Reilly,a,11592,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Erling Haaland,Throughball
686617,52.0,BlockedShot,0.915,0.580999984741211,0.08095672726631165,Bernardo Silva,a,3635,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,None
686621,62.0,MissedShots,0.7769999694824219,0.5209999847412109,0.026359979063272476,Rodri,a,2496,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Jéremy Doku,Pass
686622,73.0,BlockedShot,0.874000015258789,0.6580000305175782,0.055019356310367584,Mathis Cherki,a,8094,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Jéremy Doku,Pass
686623,77.0,BlockedShot,0.9330000305175781,0.500999984741211,0.06048252061009407,Nico O&#039;Reilly,a,11592,OpenPlay,2025,Head,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,Aerial
686627,93.0,BlockedShot,0.8190000152587891,0.6320000076293946,0.11650170385837555,Omar Marmoush,a,8393,DirectFreekick,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,Standard
686628,94.0,ShotOnPost,0.884000015258789,0.47400001525878904,0.07714128494262695,Rodri,a,2496,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,None
686629,94.0,Goal,0.9019999694824219,0.6279999923706054,0.06428354978561401,Erling Haaland,a,8260,OpenPlay,2025,LeftFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,,Rebound
686630,96.0,BlockedShot,0.8519999694824218,0.5729999923706055,0.08300711214542389,Rodri,a,2496,OpenPlay,2025,RightFoot,29138,Bournemouth,Manchester City,1,1,2026-05-19 18:30:00,Sávio,Pass
